Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-05,Swiss Cottage,723,May,2018,627223
2018-05,Moorgate,645,May,2018,1958200
2018-05,Morden,647,May,2018,845463
2018-05,Mornington Crescent,648,May,2018,349474
2018-05,Neasden,649,May,2018,298046
2018-05,Sudbury Town,721,May,2018,148547
2018-05,Newbury Park,650,May,2018,443394
2018-05,Stonebridge Park,717,May,2018,200408
2018-05,North Acton,653,May,2018,512741
2018-05,North Ealing,654,May,2018,65608
2018-05,North Greenwich,789,May,2018,1999107
2018-05,Baker Street,511,May,2018,2391025
2018-05,North Harrow,656,May,2018,161104
2018-05,Stratford,719,May,2018,5162343
2018-05,North Wembley,659,May,2018,132233
2018-05,Northfields,655,May,2018,322827
2018-05,Sudbury Hill,720,May,2018,153371
2018-05,Moor Park,646,May,2018,74621
2018-05,Pimlico,776,May,2018,844651
2018-05,Pinner,675,May,2018,243107
2018-05,Ruislip,691,May,2018,170174
2018-05,Ruislip Gardens,692,May,2018,88272
2018-05,Ruislip Manor,693,May,2018,162226
2018-05,South Woodford,712,May,2018,454599
2018-05,Russell Square,694,May,2018,940334
2018-05,Seven Sisters,698,May,2018,1485173
2018-05,Shepherds Bush LU,700,May,2018,1696432
2018-05,Archway,508,May,2018,679321
2018-05,South Wimbledon,711,May,2018,389497
2018-05,Sloane Square,702,May,2018,1420602
2018-05,South Ruislip,710,May,2018,163611
2018-05,Snaresbrook,703,May,2018,195258
2018-05,South Ealing,704,May,2018,280293
2018-05,South Harrow,707,May,2018,181490
2018-05,South Kenton,709,May,2018,58784
2018-05,Angel,507,May,2018,1350062
2018-05,Shepherds Bush Market,775,May,2018,271182
2018-05,St Pauls,697,May,2018,1453121
2018-05,Southfields,705,May,2018,464629
2018-05,Roding Valley,688,May,2018,16679
2018-05,Plaistow,676,May,2018,479460
2018-05,St Johns Wood,696,May,2018,734934
2018-05,Preston Road,677,May,2018,287673
2018-05,Arnos Grove,509,May,2018,393143
2018-05,Putney Bridge,678,May,2018,419637
2018-05,Queens Park,680,May,2018,447102
2018-05,St James's Park,695,May,2018,1181931
2018-05,Royal Oak,690,May,2018,201739
2018-05,Queensbury,679,May,2018,373909
2018-05,Ravenscourt Park,682,May,2018,254584
2018-05,Rayners Lane,683,May,2018,350166
2018-05,Southwark,784,May,2018,1310728
2018-05,Redbridge,684,May,2018,240434
2018-05,Regents Park,685,May,2018,342154
2018-05,Southgate,706,May,2018,450080
2018-05,Rickmansworth,687,May,2018,200670
2018-05,Queensway,681,May,2018,751903
2018-05,Mill Hill East,643,May,2018,58394
2018-05,Old Street,665,May,2018,1995721
2018-05,London Bridge LU,635,May,2018,5757748
2018-05,Maida Vale,637,May,2018,263426
2018-05,Marble Arch,640,May,2018,1076501
2018-05,Theydon Bois,725,May,2018,77773
2018-05,Lancaster Gate,629,May,2018,536264
2018-05,Leytonstone,633,May,2018,879496
2018-05,Marylebone LU,641,May,2018,1117518
2018-05,Tooting Broadway,727,May,2018,1294637
2018-05,Alperton,505,May,2018,247302
2018-05,Temple,724,May,2018,622297
2018-05,Latimer Road,630,May,2018,192542
